frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:35:49.229741700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.41","6","66","eth:ethertype:ip:tcp",,
"2","May 25, 2022 23:35:49.229749400 Pacific Daylight Time","0.000007700","0.000007700","172.17.0.2","173.194.8.41","6","66","eth:ethertype:ip:tcp",,
"3","May 25, 2022 23:35:49.229750700 Pacific Daylight Time","0.000009000","0.000001300","172.17.0.2","173.194.166.87","6","66","eth:ethertype:ip:tcp",,
"4","May 25, 2022 23:35:49.549810900 Pacific Daylight Time","0.320069200","0.320060200","172.17.0.2","173.194.166.87","6","66","eth:ethertype:ip:tcp",,
"5","May 25, 2022 23:35:50.357764600 Pacific Daylight Time","1.128022900","0.807953700","172.17.0.2","142.250.68.99","17","144","eth:ethertype:ip:udp:data","102",
"6","May 25, 2022 23:35:50.381716200 Pacific Daylight Time","1.151974500","0.023951600","172.17.0.2","142.250.68.54","17","119","eth:ethertype:ip:udp:data","77",
"7","May 25, 2022 23:35:50.384820200 Pacific Daylight Time","1.155078500","0.003104000","172.17.0.2","142.250.72.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"8","May 25, 2022 23:35:50.385234200 Pacific Daylight Time","1.155492500","0.000414000","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"9","May 25, 2022 23:35:50.385791500 Pacific Daylight Time","1.156049800","0.000557300","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",,
"10","May 25, 2022 23:35:50.385966100 Pacific Daylight Time","1.156224400","0.000174600","172.17.0.2","142.250.68.46","17","1287","eth:ethertype:ip:udp:data","1245",
"11","May 25, 2022 23:35:50.386039900 Pacific Daylight Time","1.156298200","0.000073800","172.17.0.2","142.250.68.46","17","75","eth:ethertype:ip:udp:data","33",
"12","May 25, 2022 23:35:50.386292800 Pacific Daylight Time","1.156551100","0.000252900","172.17.0.2","142.250.68.46","17","483","eth:ethertype:ip:udp:data","441",
"13","May 25, 2022 23:35:50.386524000 Pacific Daylight Time","1.156782300","0.000231200","172.17.0.2","142.250.68.46","17","811","eth:ethertype:ip:udp:data","769",
"14","May 25, 2022 23:35:50.386654600 Pacific Daylight Time","1.156912900","0.000130600","172.17.0.2","142.250.68.2","17","737","eth:ethertype:ip:udp:data","695",
"15","May 25, 2022 23:35:50.396751400 Pacific Daylight Time","1.167009700","0.010096800","172.17.0.2","142.250.68.54","17","205","eth:ethertype:ip:udp:data","163",
"16","May 25, 2022 23:35:50.402761200 Pacific Daylight Time","1.173019500","0.006009800","142.250.68.99","172.17.0.2","17","188","eth:ethertype:ip:udp:data","146",
"17","May 25, 2022 23:35:50.402763500 Pacific Daylight Time","1.173021800","0.000002300","142.250.68.99","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"18","May 25, 2022 23:35:50.402764500 Pacific Daylight Time","1.173022800","0.000001000","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:35:50.402833700 Pacific Daylight Time","1.173092000","0.000069200","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 23:35:50.402834600 Pacific Daylight Time","1.173092900","0.000000900","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 23:35:50.402835200 Pacific Daylight Time","1.173093500","0.000000600","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 23:35:50.402835900 Pacific Daylight Time","1.173094200","0.000000700","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 23:35:50.402854000 Pacific Daylight Time","1.173112300","0.000018100","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 23:35:50.402859700 Pacific Daylight Time","1.173118000","0.000005700","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 23:35:50.402880700 Pacific Daylight Time","1.173139000","0.000021000","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 23:35:50.403093600 Pacific Daylight Time","1.173351900","0.000212900","172.17.0.2","142.250.68.99","17","77","eth:ethertype:ip:udp:data","35",
"27","May 25, 2022 23:35:50.403271800 Pacific Daylight Time","1.173530100","0.000178200","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"28","May 25, 2022 23:35:50.403353000 Pacific Daylight Time","1.173611300","0.000081200","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"29","May 25, 2022 23:35:50.403397000 Pacific Daylight Time","1.173655300","0.000044000","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"30","May 25, 2022 23:35:50.403443600 Pacific Daylight Time","1.173701900","0.000046600","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"31","May 25, 2022 23:35:50.415492700 Pacific Daylight Time","1.185751000","0.012049100","172.17.0.2","142.250.68.46","17","1118","eth:ethertype:ip:udp:data","1076",
"32","May 25, 2022 23:35:50.421629500 Pacific Daylight Time","1.191887800","0.006136800","142.250.68.2","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"33","May 25, 2022 23:35:50.421629600 Pacific Daylight Time","1.191887900","0.000000100","142.250.68.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"34","May 25, 2022 23:35:50.421629700 Pacific Daylight Time","1.191888000","0.000000100","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 25, 2022 23:35:50.421631300 Pacific Daylight Time","1.191889600","0.000001600","142.250.68.46","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"36","May 25, 2022 23:35:50.421631600 Pacific Daylight Time","1.191889900","0.000000300","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 25, 2022 23:35:50.421632900 Pacific Daylight Time","1.191891200","0.000001300","142.250.68.99","172.17.0.2","17","1207","eth:ethertype:ip:udp:data","1165",
"38","May 25, 2022 23:35:50.421632000 Pacific Daylight Time","1.191890300","-0.000000900","142.250.68.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"39","May 25, 2022 23:35:50.421632700 Pacific Daylight Time","1.191891000","0.000000700","142.250.68.46","172.17.0.2","17","73","eth:ethertype:ip:udp:data","31",
"40","May 25, 2022 23:35:50.421633300 Pacific Daylight Time","1.191891600","0.000000600","142.250.68.46","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"41","May 25, 2022 23:35:50.421889200 Pacific Daylight Time","1.192147500","0.000255900","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"42","May 25, 2022 23:35:50.421933500 Pacific Daylight Time","1.192191800","0.000044300","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"43","May 25, 2022 23:35:50.421960200 Pacific Daylight Time","1.192218500","0.000026700","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"44","May 25, 2022 23:35:50.430485100 Pacific Daylight Time","1.200743400","0.008524900","172.17.0.2","142.250.68.46","17","75","eth:ethertype:ip:udp:data","33",
"45","May 25, 2022 23:35:50.447066700 Pacific Daylight Time","1.217325000","0.016581600","172.17.0.2","142.250.68.2","17","75","eth:ethertype:ip:udp:data","33",
"46","May 25, 2022 23:35:50.447120400 Pacific Daylight Time","1.217378700","0.000053700","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33",
"47","May 25, 2022 23:35:50.451700400 Pacific Daylight Time","1.221958700","0.004580000","142.250.68.54","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"48","May 25, 2022 23:35:50.451701700 Pacific Daylight Time","1.221960000","0.000001300","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 25, 2022 23:35:50.451702400 Pacific Daylight Time","1.221960700","0.000000700","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 25, 2022 23:35:50.451703000 Pacific Daylight Time","1.221961300","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"51","May 25, 2022 23:35:50.451703600 Pacific Daylight Time","1.221961900","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"52","May 25, 2022 23:35:50.451704300 Pacific Daylight Time","1.221962600","0.000000700","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"53","May 25, 2022 23:35:50.451704900 Pacific Daylight Time","1.221963200","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"54","May 25, 2022 23:35:50.451705500 Pacific Daylight Time","1.221963800","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"55","May 25, 2022 23:35:50.451710700 Pacific Daylight Time","1.221969000","0.000005200","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"56","May 25, 2022 23:35:50.451711400 Pacific Daylight Time","1.221969700","0.000000700","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"57","May 25, 2022 23:35:50.451712000 Pacific Daylight Time","1.221970300","0.000000600","142.250.68.54","172.17.0.2","17","282","eth:ethertype:ip:udp:data","240",
"58","May 25, 2022 23:35:50.451812800 Pacific Daylight Time","1.222071100","0.000100800","142.250.68.2","172.17.0.2","17","160","eth:ethertype:ip:udp:data","118",
"59","May 25, 2022 23:35:50.451823300 Pacific Daylight Time","1.222081600","0.000010500","142.250.68.2","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"60","May 25, 2022 23:35:50.451834600 Pacific Daylight Time","1.222092900","0.000011300","142.250.68.46","172.17.0.2","17","264","eth:ethertype:ip:udp:data","222",
"61","May 25, 2022 23:35:50.451840900 Pacific Daylight Time","1.222099200","0.000006300","142.250.68.46","172.17.0.2","17","83","eth:ethertype:ip:udp:data","41",
"62","May 25, 2022 23:35:50.451874800 Pacific Daylight Time","1.222133100","0.000033900","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic:tls",,"quic"
"63","May 25, 2022 23:35:50.451904100 Pacific Daylight Time","1.222162400","0.000029300","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"64","May 25, 2022 23:35:50.451908500 Pacific Daylight Time","1.222166800","0.000004400","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"65","May 25, 2022 23:35:50.451910300 Pacific Daylight Time","1.222168600","0.000001800","142.250.68.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"66","May 25, 2022 23:35:50.451998600 Pacific Daylight Time","1.222256900","0.000088300","172.17.0.2","142.250.68.54","17","79","eth:ethertype:ip:udp:data","37",
"67","May 25, 2022 23:35:50.452043500 Pacific Daylight Time","1.222301800","0.000044900","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33",
"68","May 25, 2022 23:35:50.452069000 Pacific Daylight Time","1.222327300","0.000025500","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33",
"69","May 25, 2022 23:35:50.452093100 Pacific Daylight Time","1.222351400","0.000024100","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33",
"70","May 25, 2022 23:35:50.452132400 Pacific Daylight Time","1.222390700","0.000039300","172.17.0.2","142.250.68.54","17","77","eth:ethertype:ip:udp:data","35",
"71","May 25, 2022 23:35:50.452156900 Pacific Daylight Time","1.222415200","0.000024500","172.17.0.2","142.250.68.54","17","77","eth:ethertype:ip:udp:data","35",
"72","May 25, 2022 23:35:50.452180200 Pacific Daylight Time","1.222438500","0.000023300","172.17.0.2","142.250.68.54","17","77","eth:ethertype:ip:udp:data","35",
"73","May 25, 2022 23:35:50.452203200 Pacific Daylight Time","1.222461500","0.000023000","172.17.0.2","142.250.68.54","17","77","eth:ethertype:ip:udp:data","35",
"74","May 25, 2022 23:35:50.452237100 Pacific Daylight Time","1.222495400","0.000033900","172.17.0.2","142.250.68.54","17","77","eth:ethertype:ip:udp:data","35",
"75","May 25, 2022 23:35:50.453383000 Pacific Daylight Time","1.223641300","0.001145900","172.17.0.2","142.250.68.2","17","77","eth:ethertype:ip:udp:data","35",
"76","May 25, 2022 23:35:50.454135600 Pacific Daylight Time","1.224393900","0.000752600","172.17.0.2","142.250.68.46","17","80","eth:ethertype:ip:udp:data","38",
"77","May 25, 2022 23:35:50.454232900 Pacific Daylight Time","1.224491200","0.000097300","172.17.0.2","142.250.68.46","17","80","eth:ethertype:ip:udp:data","38",
"78","May 25, 2022 23:35:50.454268300 Pacific Daylight Time","1.224526600","0.000035400","172.17.0.2","142.250.68.46","17","76","eth:ethertype:ip:udp:data","34",
"79","May 25, 2022 23:35:50.454549400 Pacific Daylight Time","1.224807700","0.000281100","172.17.0.2","142.250.72.129","17","83","eth:ethertype:ip:udp:quic",,"quic"
"80","May 25, 2022 23:35:50.455113000 Pacific Daylight Time","1.225371300","0.000563600","142.250.68.46","172.17.0.2","17","73","eth:ethertype:ip:udp:data","31",
"81","May 25, 2022 23:35:50.455733600 Pacific Daylight Time","1.225991900","0.000620600","172.17.0.2","142.250.68.46","17","76","eth:ethertype:ip:udp:data","34",
"82","May 25, 2022 23:35:50.460084000 Pacific Daylight Time","1.230342300","0.004350400","142.250.68.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"83","May 25, 2022 23:35:50.460085100 Pacific Daylight Time","1.230343400","0.000001100","142.250.68.99","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"84","May 25, 2022 23:35:50.460243600 Pacific Daylight Time","1.230501900","0.000158500","172.17.0.2","142.250.68.99","17","75","eth:ethertype:ip:udp:data","33",
"85","May 25, 2022 23:35:50.466866000 Pacific Daylight Time","1.237124300","0.006622400","172.20.176.1","172.17.0.2","17","170","eth:ethertype:ip:udp:dns",,
"86","May 25, 2022 23:35:50.467154200 Pacific Daylight Time","1.237412500","0.000288200","172.17.0.2","142.250.68.38","6","74","eth:ethertype:ip:tcp",,
"87","May 25, 2022 23:35:50.467477400 Pacific Daylight Time","1.237735700","0.000323200","142.250.68.46","172.17.0.2","17","120","eth:ethertype:ip:udp:data","78",
"88","May 25, 2022 23:35:50.467808500 Pacific Daylight Time","1.238066800","0.000331100","172.17.0.2","142.250.68.46","17","80","eth:ethertype:ip:udp:data","38",
"89","May 25, 2022 23:35:50.467898200 Pacific Daylight Time","1.238156500","0.000089700","142.250.68.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"90","May 25, 2022 23:35:50.476729000 Pacific Daylight Time","1.246987300","0.008830800","172.17.0.2","142.250.68.46","17","77","eth:ethertype:ip:udp:data","35",
"91","May 25, 2022 23:35:50.479014700 Pacific Daylight Time","1.249273000","0.002285700","172.17.0.2","142.250.68.2","17","75","eth:ethertype:ip:udp:data","33",
"92","May 25, 2022 23:35:50.482898500 Pacific Daylight Time","1.253156800","0.003883800","142.250.68.46","172.17.0.2","17","131","eth:ethertype:ip:udp:data","89",
"93","May 25, 2022 23:35:50.483100200 Pacific Daylight Time","1.253358500","0.000201700","172.17.0.2","142.250.68.46","17","80","eth:ethertype:ip:udp:data","38",
"94","May 25, 2022 23:35:50.483470200 Pacific Daylight Time","1.253728500","0.000370000","142.250.68.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"95","May 25, 2022 23:35:50.484956300 Pacific Daylight Time","1.255214600","0.001486100","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"96","May 25, 2022 23:35:50.484957700 Pacific Daylight Time","1.255216000","0.000001400","142.250.68.54","172.17.0.2","17","75","eth:ethertype:ip:udp:data","33",
"97","May 25, 2022 23:35:50.485126500 Pacific Daylight Time","1.255384800","0.000168800","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33",
"98","May 25, 2022 23:35:50.485957600 Pacific Daylight Time","1.256215900","0.000831100","142.250.68.46","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"99","May 25, 2022 23:35:50.491805400 Pacific Daylight Time","1.262063700","0.005847800","172.20.176.1","172.17.0.2","17","126","eth:ethertype:ip:udp:dns",,
"100","May 25, 2022 23:35:50.492118200 Pacific Daylight Time","1.262376500","0.000312800","172.17.0.2","142.250.68.98","6","74","eth:ethertype:ip:tcp",,
"101","May 25, 2022 23:35:50.492164800 Pacific Daylight Time","1.262423100","0.000046600","172.17.0.2","142.250.68.98","6","74","eth:ethertype:ip:tcp",,
"102","May 25, 2022 23:35:50.492214600 Pacific Daylight Time","1.262472900","0.000049800","172.17.0.2","142.250.68.46","17","75","eth:ethertype:ip:udp:data","33",
"103","May 25, 2022 23:35:50.506578100 Pacific Daylight Time","1.276836400","0.014363500","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"104","May 25, 2022 23:35:50.507160200 Pacific Daylight Time","1.277418500","0.000582100","142.250.72.129","172.17.0.2","17","640","eth:ethertype:ip:udp:quic",,"quic"
"105","May 25, 2022 23:35:50.507794300 Pacific Daylight Time","1.278052600","0.000634100","172.17.0.2","142.250.72.129","17","208","eth:ethertype:ip:udp:quic",,"quic"
"106","May 25, 2022 23:35:50.507933600 Pacific Daylight Time","1.278191900","0.000139300","172.17.0.2","142.250.72.129","17","461","eth:ethertype:ip:udp:quic",,"quic"
"107","May 25, 2022 23:35:50.508012200 Pacific Daylight Time","1.278270500","0.000078600","172.17.0.2","142.250.72.129","17","196","eth:ethertype:ip:udp:quic",,"quic"
"108","May 25, 2022 23:35:50.511507500 Pacific Daylight Time","1.281765800","0.003495300","142.250.68.2","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"109","May 25, 2022 23:35:50.511507500 Pacific Daylight Time","1.281765800","0.000000000","142.250.68.98","172.17.0.2","6","74","eth:ethertype:ip:tcp",,
"110","May 25, 2022 23:35:50.511527400 Pacific Daylight Time","1.281785700","0.000019900","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"111","May 25, 2022 23:35:50.511529300 Pacific Daylight Time","1.281787600","0.000001900","142.250.68.98","172.17.0.2","6","74","eth:ethertype:ip:tcp",,
"112","May 25, 2022 23:35:50.511544900 Pacific Daylight Time","1.281803200","0.000015600","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"113","May 25, 2022 23:35:50.511854200 Pacific Daylight Time","1.282112500","0.000309300","172.17.0.2","142.250.68.98","6","583","eth:ethertype:ip:tcp:tls",,
"114","May 25, 2022 23:35:50.511971600 Pacific Daylight Time","1.282229900","0.000117400","172.17.0.2","142.250.68.98","6","583","eth:ethertype:ip:tcp:tls",,
"115","May 25, 2022 23:35:50.516901400 Pacific Daylight Time","1.287159700","0.004929800","142.250.68.46","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"116","May 25, 2022 23:35:50.516903900 Pacific Daylight Time","1.287162200","0.000002500","142.250.68.38","172.17.0.2","6","74","eth:ethertype:ip:tcp",,
"117","May 25, 2022 23:35:50.516952100 Pacific Daylight Time","1.287210400","0.000048200","172.17.0.2","142.250.68.38","6","66","eth:ethertype:ip:tcp",,
"118","May 25, 2022 23:35:50.517307500 Pacific Daylight Time","1.287565800","0.000355400","172.17.0.2","142.250.68.38","6","583","eth:ethertype:ip:tcp:tls",,
"119","May 25, 2022 23:35:50.538924000 Pacific Daylight Time","1.309182300","0.021616500","142.250.68.46","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"120","May 25, 2022 23:35:50.538924000 Pacific Daylight Time","1.309182300","0.000000000","142.250.68.98","172.17.0.2","6","66","eth:ethertype:ip:tcp",,
"121","May 25, 2022 23:35:50.556510000 Pacific Daylight Time","1.326768300","0.017586000","142.250.68.98","172.17.0.2","6","2902","eth:ethertype:ip:tcp:tls",,
"122","May 25, 2022 23:35:50.556520700 Pacific Daylight Time","1.326779000","0.000010700","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"123","May 25, 2022 23:35:50.556519900 Pacific Daylight Time","1.326778200","-0.000000800","142.250.68.98","172.17.0.2","6","66","eth:ethertype:ip:tcp",,
"124","May 25, 2022 23:35:50.556511200 Pacific Daylight Time","1.326769500","-0.000008700","142.250.68.98","172.17.0.2","6","1920","eth:ethertype:ip:tcp:tls",,
"125","May 25, 2022 23:35:50.556530600 Pacific Daylight Time","1.326788900","0.000019400","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"126","May 25, 2022 23:35:50.557594000 Pacific Daylight Time","1.327852300","0.001063400","142.250.72.129","172.17.0.2","17","665","eth:ethertype:ip:udp:quic",,"quic"
"127","May 25, 2022 23:35:50.557595100 Pacific Daylight Time","1.327853400","0.000001100","142.250.72.129","172.17.0.2","17","135","eth:ethertype:ip:udp:quic",,"quic"
"128","May 25, 2022 23:35:50.557595800 Pacific Daylight Time","1.327854100","0.000000700","142.250.72.129","172.17.0.2","17","67","eth:ethertype:ip:udp:quic",,"quic"
"129","May 25, 2022 23:35:50.557596400 Pacific Daylight Time","1.327854700","0.000000600","142.250.72.129","172.17.0.2","17","67","eth:ethertype:ip:udp:quic",,"quic"
"130","May 25, 2022 23:35:50.557597100 Pacific Daylight Time","1.327855400","0.000000700","142.250.72.129","172.17.0.2","17","1288","eth:ethertype:ip:udp:quic",,"quic"
"131","May 25, 2022 23:35:50.557597800 Pacific Daylight Time","1.327856100","0.000000700","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"132","May 25, 2022 23:35:50.557878500 Pacific Daylight Time","1.328136800","0.000280700","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:quic",,"quic"
"133","May 25, 2022 23:35:50.558052600 Pacific Daylight Time","1.328310900","0.000174100","172.17.0.2","142.250.72.129","17","77","eth:ethertype:ip:udp:quic",,"quic"
"134","May 25, 2022 23:35:50.558532200 Pacific Daylight Time","1.328790500","0.000479600","142.250.72.129","172.17.0.2","17","892","eth:ethertype:ip:udp:quic",,"quic"
"135","May 25, 2022 23:35:50.558533800 Pacific Daylight Time","1.328792100","0.000001600","142.250.68.98","172.17.0.2","6","2902","eth:ethertype:ip:tcp:tls",,
"136","May 25, 2022 23:35:50.558545100 Pacific Daylight Time","1.328803400","0.000011300","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"137","May 25, 2022 23:35:50.558534600 Pacific Daylight Time","1.328792900","-0.000010500","142.250.68.98","172.17.0.2","6","1484","eth:ethertype:ip:tcp",,
"138","May 25, 2022 23:35:50.558549500 Pacific Daylight Time","1.328807800","0.000014900","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"139","May 25, 2022 23:35:50.559195800 Pacific Daylight Time","1.329454100","0.000646300","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:quic",,"quic"
"140","May 25, 2022 23:35:50.559901100 Pacific Daylight Time","1.330159400","0.000705300","172.17.0.2","142.250.68.98","6","140","eth:ethertype:ip:tcp:tls",,
"141","May 25, 2022 23:35:50.560845000 Pacific Daylight Time","1.331103300","0.000943900","172.17.0.2","142.250.68.98","6","158","eth:ethertype:ip:tcp:tls",,
"142","May 25, 2022 23:35:50.560916200 Pacific Daylight Time","1.331174500","0.000071200","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"143","May 25, 2022 23:35:50.561207600 Pacific Daylight Time","1.331465900","0.000291400","172.17.0.2","142.250.68.98","6","1025","eth:ethertype:ip:tcp:tls",,
"144","May 25, 2022 23:35:50.561241100 Pacific Daylight Time","1.331499400","0.000033500","172.17.0.2","142.250.68.98","6","744","eth:ethertype:ip:tcp:tls",,
"145","May 25, 2022 23:35:50.578793400 Pacific Daylight Time","1.349051700","0.017552300","142.250.72.129","172.17.0.2","17","69","eth:ethertype:ip:udp:quic",,"quic"
"146","May 25, 2022 23:35:50.578794500 Pacific Daylight Time","1.349052800","0.000001100","142.250.72.129","172.17.0.2","17","1288","eth:ethertype:ip:udp:quic",,"quic"
"147","May 25, 2022 23:35:50.579119100 Pacific Daylight Time","1.349377400","0.000324600","172.17.0.2","142.250.72.129","17","77","eth:ethertype:ip:udp:quic",,"quic"
"148","May 25, 2022 23:35:50.584853100 Pacific Daylight Time","1.355111400","0.005734000","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"149","May 25, 2022 23:35:50.585283700 Pacific Daylight Time","1.355542000","0.000430600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"150","May 25, 2022 23:35:50.585298500 Pacific Daylight Time","1.355556800","0.000014800","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"151","May 25, 2022 23:35:50.585299700 Pacific Daylight Time","1.355558000","0.000001200","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"152","May 25, 2022 23:35:50.585334900 Pacific Daylight Time","1.355593200","0.000035200","142.250.68.98","172.17.0.2","6","502","eth:ethertype:ip:tcp",,
"153","May 25, 2022 23:35:50.585391700 Pacific Daylight Time","1.355650000","0.000056800","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"154","May 25, 2022 23:35:50.585393100 Pacific Daylight Time","1.355651400","0.000001400","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"155","May 25, 2022 23:35:50.585396700 Pacific Daylight Time","1.355655000","0.000003600","172.17.0.2","142.250.68.98","6","78","eth:ethertype:ip:tcp",,
"156","May 25, 2022 23:35:50.585404900 Pacific Daylight Time","1.355663200","0.000008200","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"157","May 25, 2022 23:35:50.585439900 Pacific Daylight Time","1.355698200","0.000035000","142.250.68.38","172.17.0.2","6","66","eth:ethertype:ip:tcp",,
"158","May 25, 2022 23:35:50.585499500 Pacific Daylight Time","1.355757800","0.000059600","142.250.68.98","172.17.0.2","6","996","eth:ethertype:ip:tcp:tls",,
"159","May 25, 2022 23:35:50.585520300 Pacific Daylight Time","1.355778600","0.000020800","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"160","May 25, 2022 23:35:50.585500300 Pacific Daylight Time","1.355758600","-0.000020000","142.250.68.98","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",,
"161","May 25, 2022 23:35:50.585522200 Pacific Daylight Time","1.355780500","0.000021900","172.17.0.2","142.250.68.98","6","66","eth:ethertype:ip:tcp",,
"162","May 25, 2022 23:35:50.585553200 Pacific Daylight Time","1.355811500","0.000031000","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:quic",,"quic"
"163","May 25, 2022 23:35:50.585572600 Pacific Daylight Time","1.355830900","0.000019400","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"164","May 25, 2022 23:35:50.585674200 Pacific Daylight Time","1.355932500","0.000101600","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:quic",,"quic"
"165","May 25, 2022 23:35:50.585701700 Pacific Daylight Time","1.355960000","0.000027500","172.17.0.2","142.250.72.129","17","75","eth:ethertype:ip:udp:quic",,"quic"
